topic	definition
A-APF	<p><b>Part of Speech:</b> Adjective </p><p><b>Case:</b> Accusative </p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine </p>
A-APF-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p><p><b>Degree:</b> Comparative</p>
A-APM	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
A-APM-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p><p><b>Degree:</b> Comparative</p>
A-APN	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
A-APN-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p><p><b>Degree:</b> Comparative</p>
A-ASF	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
A-ASF-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p><p><b>Degree:</b> Comparative</p>
A-ASF-S	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p><p><b>Degree:</b> Superlative</p>
A-ASM	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
A-ASM-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p><p><b>Degree:</b> Comparative</p>
A-ASN	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
A-ASN-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p><p><b>Degree:</b> Comparative</p>
A-DPF	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
A-DPM	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
A-DPM-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p><p><b>Degree:</b> Comparative</p>
A-DPN	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
A-DSF	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
A-DSF-C	<p><b>Part of Speech:</b> Adjective</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p><p><b>Degree:</b> Comparative</p>
